variable,n,media_samples,sd_samples,MDL
BC,11,-491.88463289229014,167.14655797451098,9.555041031242808
Al,10,54.853719348253,60.39222090486068,236.03038206283506
Si,10,101.36703492573803,22.094600683790585,167.65083697710978
Cr,11,8.772687855239681,15.196692020941239,54.36276391806339
Cu,10,8.816033319429106,67.09046900665354,210.0874403393897
Pb,10,-48.399319087138416,54.69891056665508,115.69741261282681
Fe,11,3.7699094707117893,26.621297233160995,83.63380117019479
Co,10,5.441517842144225,12.811715456518186,43.87666421169878
Ti,9,22.463408883478518,5.209964552927856,38.09330254226209
Mn,9,28.16390611513633,17.119254819854827,79.5216705747008
Se,9,-2.3076106761024358,19.69301427652822,56.77143215348223
Pt,9,150.7302900125142,84.03814785192534,402.8447335682902
Sn,9,-42.16693568936188,19.459446789519447,16.211404679196463
S,10,160.08638503479474,33.319929315838934,260.04617298231153
Sr,9,56.2824145147318,280.5706622025075,897.9944011222543
Br,9,180.14712506255776,198.56019010139093,775.8276953667305
P,10,-120.7816279630142,34.399836924575936,-17.582117189286393
Na,9,1025.1504916970127,485.8246368128209,2482.6244021354755
Mg,9,-480.37727008697993,400.20033338066276,720.2237300550082
Cl,10,129.8827896791393,86.0291700660355,387.97029987724585
K,8,72.30037339057658,53.9691035574567,234.20768406294667
Ca,10,-338.658561841707,64.92567911546845,-143.88152449530165
Zn,11,-13.990727097394124,22.514156655401,53.55174286880887
Ni,11,-31.444138609125794,23.090229110393267,37.82654872205401
V,7,-24.925473307000907,4.796024295506382,-10.53740042048176
Hg,4,23.274119840633652,38.81366233774833,139.71510685387867
fluoreto,9,3.6712740740740744,28.655038083613388,89.63638832491424
acetato,9,12.721496296296296,45.82232766443306,150.18847928959548
formiato,9,54.43331851851852,191.44970768951308,628.7824415870577
cloreto,9,42.452488888888894,5.921431826847288,60.216784369430755
nitrito,9,6.821822222222222,24.00060323708552,78.82363193347878
brometo,9,0,0,0
nitrato,9,38.83284444444445,88.08350533830193,303.0833604593502
sulfato,9,136.63837037037038,206.93771701059558,757.451521402157
fosfato,9,124.26559999999999,434.4057308992873,1427.4827926978617
litio,6,0.3433333333333333,2.0624257562394823,6.53061060205178
sodio,6,39.413333333333334,334.4332232299895,1042.7130030233018
amonio,6,40.33,348.5196233212701,1085.8888699638103
potassio,6,79.81,222.50512803079394,747.3253840923819
magnesio,6,8.82,20.970630891797224,71.73189267539166
calcio,6,46.55777777777777,92.55294931371267,324.2166257189158
PM2.5,12,11016.666666666699,1642.153058233484,15943.125841367151
